1. Summary
Meeting title	ProCoder Live Session - AI & Fullstack Architecture
Attended participants	25
Start time	9/2/26, 2:00:00 PM
End time	9/2/26, 3:30:00 PM
Meeting duration	1h 30m 00s
Average attendance time	1h 25m 30s

2. Participants
Name	First Join	Last Leave	In-Meeting Duration	Email	Participant ID (UPN)	Role
Priyanka Davhare	9/2/26, 2:00:15 PM	9/2/26, 3:30:00 PM	1h 29m 45s	priyanka.davhare@company.com	priyanka.davhare@company.com	Organizer
Omprakash Pandey	9/2/26, 2:01:10 PM	9/2/26, 3:30:00 PM	1h 28m 50s	omprakash.pandey@company.com	omprakash.pandey@company.com	Presenter
Rahul Sharma	9/2/26, 2:02:00 PM	9/2/26, 3:28:15 PM	1h 26m 15s	rahul.sharma@company.com	rahul.sharma@company.com	Presenter
Sneha Patil	9/2/26, 2:00:45 PM	9/2/26, 3:30:00 PM	1h 29m 15s	sneha.patil@company.com	sneha.patil@company.com	Presenter
Guest Visitor	9/2/26, 2:05:00 PM	9/2/26, 3:25:00 PM	1h 20m 00s	guest.visitor@company.com	guest.visitor@company.com	Presenter
Siddharth Savant	9/2/26, 2:01:30 PM	9/2/26, 3:29:10 PM	1h 27m 40s	siddharth.savant@company.com	siddharth.savant@company.com	Presenter
Parth Honkalse	9/2/26, 2:03:15 PM	9/2/26, 3:27:45 PM	1h 24m 30s	parth.honkalse@company.com	parth.honkalse@company.com	Presenter
Anuja Thorat	9/2/26, 2:02:20 PM	9/2/26, 3:30:00 PM	1h 27m 40s	anuja.thorat@company.com	anuja.thorat@company.com	Presenter
Diya Yadav	9/2/26, 2:04:10 PM	9/2/26, 3:26:50 PM	1h 22m 40s	diya.yadav@company.com	diya.yadav@company.com	Presenter
Tushar Dayma	9/2/26, 2:01:50 PM	9/2/26, 3:28:30 PM	1h 26m 40s	tushar.dayma@company.com	tushar.dayma@company.com	Presenter
Mohit Gahlot	9/2/26, 2:05:30 PM	9/2/26, 3:25:10 PM	1h 19m 40s	mohit.gahlot@company.com	mohit.gahlot@company.com	Presenter
Neelkanth Aher	9/2/26, 2:03:00 PM	9/2/26, 3:27:00 PM	1h 24m 00s	neelkanth.aher@company.com	neelkanth.aher@company.com	Presenter
Siddharth Kshirsagar	9/2/26, 2:02:45 PM	9/2/26, 3:29:15 PM	1h 26m 30s	siddharth.kshirsagar@company.com	siddharth.kshirsagar@company.com	Presenter
Karan Krishna	9/2/26, 2:01:00 PM	9/2/26, 3:30:00 PM	1h 29m 00s	karan.krishna@company.com	karan.krishna@company.com	Presenter
Deepali Deshmukh	9/2/26, 2:00:30 PM	9/2/26, 3:30:00 PM	1h 29m 30s	deepali.deshmukh@company.com	deepali.deshmukh@company.com	Presenter
Rohan Joshi	9/2/26, 2:04:00 PM	9/2/26, 3:26:00 PM	1h 22m 00s	rohan.joshi@company.com	rohan.joshi@company.com	Presenter
Pooja Sharma	9/2/26, 2:03:30 PM	9/2/26, 3:28:00 PM	1h 24m 30s	pooja.sharma@company.com	pooja.sharma@company.com	Presenter
Aditya Shinde	9/2/26, 2:01:20 PM	9/2/26, 3:29:40 PM	1h 28m 20s	aditya.shinde@company.com	aditya.shinde@company.com	Presenter
Neha Gupta	9/2/26, 2:02:10 PM	9/2/26, 3:27:50 PM	1h 25m 40s	neha.gupta@company.com	neha.gupta@company.com	Presenter
Amit Verma	9/2/26, 2:04:40 PM	9/2/26, 3:25:50 PM	1h 21m 10s	amit.verma@company.com	amit.verma@company.com	Presenter
Aarav Verma	9/2/26, 2:03:50 PM	9/2/26, 3:26:30 PM	1h 22m 40s	aarav.verma@company.com	aarav.verma@company.com	Presenter
Diya Kulkarni	9/2/26, 2:02:30 PM	9/2/26, 3:28:10 PM	1h 25m 40s	diya.kulkarni@company.com	diya.kulkarni@company.com	Presenter
Rohan Mehta	9/2/26, 2:04:20 PM	9/2/26, 3:26:40 PM	1h 22m 20s	rohan.mehta@company.com	rohan.mehta@company.com	Presenter
Ananya Singh	9/2/26, 2:01:45 PM	9/2/26, 3:29:15 PM	1h 27m 30s	ananya.singh@company.com	ananya.singh@company.com	Presenter
Vikram Nair	9/2/26, 2:03:10 PM	9/2/26, 3:27:30 PM	1h 24m 20s	vikram.nair@company.com	vikram.nair@company.com	Presenter

3. In-Meeting Activities
Name	Join Time	Leave Time	Duration	Email	Role
Priyanka Davhare	9/2/26, 2:00:15 PM	9/2/26, 3:30:00 PM	1h 29m 45s	priyanka.davhare@company.com	Organizer
Omprakash Pandey	9/2/26, 2:01:10 PM	9/2/26, 3:30:00 PM	1h 28m 50s	omprakash.pandey@company.com	Presenter
Rahul Sharma	9/2/26, 2:02:00 PM	9/2/26, 3:28:15 PM	1h 26m 15s	rahul.sharma@company.com	Presenter
Sneha Patil	9/2/26, 2:00:45 PM	9/2/26, 3:30:00 PM	1h 29m 15s	sneha.patil@company.com	Presenter
Guest Visitor	9/2/26, 2:05:00 PM	9/2/26, 3:25:00 PM	1h 20m 00s	guest.visitor@company.com	Presenter
Siddharth Savant	9/2/26, 2:01:30 PM	9/2/26, 3:29:10 PM	1h 27m 40s	siddharth.savant@company.com	Presenter
Parth Honkalse	9/2/26, 2:03:15 PM	9/2/26, 3:27:45 PM	1h 24m 30s	parth.honkalse@company.com	Presenter
Anuja Thorat	9/2/26, 2:02:20 PM	9/2/26, 3:30:00 PM	1h 27m 40s	anuja.thorat@company.com	Presenter
Diya Yadav	9/2/26, 2:04:10 PM	9/2/26, 3:26:50 PM	1h 22m 40s	diya.yadav@company.com	Presenter
Tushar Dayma	9/2/26, 2:01:50 PM	9/2/26, 3:28:30 PM	1h 26m 40s	tushar.dayma@company.com	Presenter
Mohit Gahlot	9/2/26, 2:05:30 PM	9/2/26, 3:25:10 PM	1h 19m 40s	mohit.gahlot@company.com	Presenter
Neelkanth Aher	9/2/26, 2:03:00 PM	9/2/26, 3:27:00 PM	1h 24m 00s	neelkanth.aher@company.com	Presenter
Siddharth Kshirsagar	9/2/26, 2:02:45 PM	9/2/26, 3:29:15 PM	1h 26m 30s	siddharth.kshirsagar@company.com	Presenter
Karan Krishna	9/2/26, 2:01:00 PM	9/2/26, 3:30:00 PM	1h 29m 00s	karan.krishna@company.com	Presenter
Deepali Deshmukh	9/2/26, 2:00:30 PM	9/2/26, 3:30:00 PM	1h 29m 30s	deepali.deshmukh@company.com	Presenter
Rohan Joshi	9/2/26, 2:04:00 PM	9/2/26, 3:26:00 PM	1h 22m 00s	rohan.joshi@company.com	Presenter
Pooja Sharma	9/2/26, 2:03:30 PM	9/2/26, 3:28:00 PM	1h 24m 30s	pooja.sharma@company.com	Presenter
Aditya Shinde	9/2/26, 2:01:20 PM	9/2/26, 3:29:40 PM	1h 28m 20s	aditya.shinde@company.com	Presenter
Neha Gupta	9/2/26, 2:02:10 PM	9/2/26, 3:27:50 PM	1h 25m 40s	neha.gupta@company.com	Presenter
Amit Verma	9/2/26, 2:04:40 PM	9/2/26, 3:25:50 PM	1h 21m 10s	amit.verma@company.com	Presenter
Aarav Verma	9/2/26, 2:03:50 PM	9/2/26, 3:26:30 PM	1h 22m 40s	aarav.verma@company.com	Presenter
Diya Kulkarni	9/2/26, 2:02:30 PM	9/2/26, 3:28:10 PM	1h 25m 40s	diya.kulkarni@company.com	Presenter
Rohan Mehta	9/2/26, 2:04:20 PM	9/2/26, 3:26:40 PM	1h 22m 20s	rohan.mehta@company.com	Presenter
Ananya Singh	9/2/26, 2:01:45 PM	9/2/26, 3:29:15 PM	1h 27m 30s	ananya.singh@company.com	Presenter
